Player,2023/24
Jaren Jackson Jr,27102202.0
Jarred Vanderbilt,4640000.0
Jarrett Allen,20000000.0
Jason Preston,315280.0
Javon Freeman-Liberty,849324.0
Javonte Green,261293.0
Jaxson Hayes,2165000.0
Jay Huff,559782.0
Jaylen Brown,31830357.0
Jaylen Clark,559782.0
Jaylen Martin,249766.0
Jaylen Nowell,398160.0
Jaylin Galloway,141554.0
Jaylin Williams,2000000.0
Jayson Tatum,32600060.0
Jeff Dowtin,269237.0
Jeff Green,8000000.0
Jerami Grant,27586207.0
Jeremiah Robinson-Earl,2548843.0
Jeremy Sochan,5316960.0
Jericho Sims,1927896.0
Jermaine Samuels,559782.0
Jerome Robinson,559782.0
Jett Howard,5026824.0
Jevon Carter,6190476.0
Jimmy Butler,45183960.0
Jock Landale,8000000.0
Joe Harris,19928571.0
Joe Ingles,11000000.0
Joel Embiid,47607350.0
John Butler,147988.0
John Collins,25340000.0
John Konchar,2400000.0
Johnny Davis,5050800.0
Johnny Juzang,559782.0
Jonas Valanciunas,15435000.0
Jonathan Isaac,17400000.0
Jonathan Kuminga,6012840.0
Jontay Porter,411794.0
Jordan Clarkson,23487629.0
Jordan Ford,559782.0
Jordan Goodwin,2208045.0
Jordan Hawkins,4310196.0
Jordan McLaughlin,2420000.0
Jordan Miller,559782.0
Jordan Nwora,3000000.0
Jordan Poole,27955357.0
Jordan Walsh,1119563.0
Jose Alvarado,1836096.0
Josh Christopher,2732920.0
Josh Giddey,6587040.0
Josh Green,4765339.0
Josh Hart,12960000.0
Josh Minott,1719864.0
Josh Okogie,2815937.0
Josh Primo,5341600.0
Josh Richardson,2891467.0
Jrue Holiday,37620347.0
Juan Toscano-Anderson,447931.0
Jules Bernard,415011.0
Julian Champagnie,3000000.0
Julian Phillips,1600000.0
Julian Strawther,2431044.0
Julius Randle,26943840.0
Justin Champagnie,254412.0
Justin Holiday,3196448.0
Justin Jackson,145301.0
Justin Lewis,173725.0
Justin Minaya,559782.0
Justise Winslow,166176.0
Jusuf Nurkic,16875000.0
Juwan Morgan,576230.0
KJ Martin,1930681.0
Kai Jones,3198778.0
Kaiser Gates,35389.0
Karl-Anthony Towns,36016200.0
Kawhi Leonard,45640084.0
Keegan Murray,8409000.0
Keita Bates-Diop,2346614.0
Keldon Johnson,20000000.0
Kelly Olynyk,12195122.0
Kelly Oubre,2891467.0
Kendall Brown,1100000.0
Kennedy Chandler,1719864.0
Kenneth Lofton,2586618.0
Kenrich Williams,6175000.0
Kentavious Caldwell-Pope,14704938.0
Keon Ellis,683430.0
Keon Johnson,3342765.0
Kessler Edwards,1927896.0
Kevin Durant,47649433.0
Kevin Huerter,15669643.0
Kevin Knox,2144320.0
Kevin Love,3835738.0
Kevin Porter,15860000.0
Kevon Harris,559782.0
Kevon Looney,7500000.0
Keyontae Johnson,559782.0
Keyonte George,3889776.0
Khem Birch,6985000.0
Khris Middleton,29320988.0
Killian Hayes,7413955.0
Kira Lewis,5722116.0
Klay Thompson,43219440.0
Kobe Brown,2413356.0
Kobe Bufkin,4094244.0
Kobi Simmons,120250.0
Kris Dunn,2586484.0
Kris Murray,2847504.0
Kristaps Porzingis,36016200.0
Kyle Anderson,9219512.0
Kyle Kuzma,25568182.0
Kyle Lowry,29682540.0
Kyrie Irving,38037037.0
LaMelo Ball,10900635.0
Lamar Stevens,2492354.0
Landry Shamet,10250000.0
Larry Nance Jr,10375000.0
Lauri Markkanen,17259999.0
LeBron James,47607350.0
Leaky Black,559782.0
Leonard Miller,1800000.0
Lester Quinones,1108597.0
Lindell Wigginton,244502.0
Lindy Waters III,766095.0
Lonnie Walker,2346614.0
Lonzo Ball,20465117.0
Luguentz Dort,15277778.0
Luka Doncic,40064220.0
Luka Garza,687465.0
Luka Samanic,2066585.0
Luke Kennard,14763636.0
Luke Kornet,2413304.0
Malachi Flynn,3873024.0
Malaki Branham,3071880.0
Malcolm Brogdon,22500000.0
Malcolm Cazalon,559782.0
Malcolm Hill,286583.0
Malik Beasley,2709849.0
Malik Fitts,555217.0
Malik Monk,9945830.0
Malik Williams,77212.0
Mamadi Diakite,710574.0
Maozinha Pereira,128685.0
MarJon Beauchamp,2609400.0
Marcus Morris,17612280.0
Marcus Sasser,2624028.0
Marcus Smart,18583713.0
Mark Williams,3908160.0
Markelle Fultz,17000000.0
Markieff Morris,3196448.0
Markquis Nowell,559782.0
Marques Bolden,502131.0
Marvin Bagley,12500000.0
Mason Jones,212331.0
Mason Plumlee,5000000.0
Matisse Thybulle,10500000.0
Matt Ryan,2059782.0
Matthew Hurt,128686.0
Max Christie,1719864.0
Max Strus,14487684.0
Maxi Kleber,11000000.0
Maxwell Lewis,1119563.0
Micah Potter,559782.0
Michael Porter,33386850.0
Mikal Bridges,21700000.0
Mike Conley,24360000.0
Mike Muscala,4308297.0
Miles Bridges,7921300.0
Miles McBride,1836096.0
Miles Norris,193028.0
Mitchell Robinson,15681818.0
Mo Bamba,2346614.0
Monte Morris,9800926.0
Montrezl Harrell,2019706.0
Moritz Wagner,8000000.0
Moses Brown,2165000.0
Moses Moody,3918480.0
Mouhamadou Gueye,199463.0
Mouhamed Gueye,1119563.0
Moussa Diabate,559782.0
Myles Turner,20975000.0
Naji Marshall,1930681.0
Nassir Little,6250000.0
Nate Hinton,559782.0
Nate Williams,559782.0
Nathan Knight,160857.0
Nathan Mensah,395708.0
Naz Reid,12950400.0
Neemias Queta,891035.0
Nerlens Noel,300000.0
Nick Smith,2463912.0
Nickeil Alexander-Walker,4687500.0
Nicolas Batum,11710818.0
Nicolas Claxton,9625000.0
Nik Stauskas,702311.0
Nikola Jokic,47607350.0
Nikola Jovic,2352000.0
Nikola Vucevic,18518519.0
Noah Clowney,3089460.0
Norman Powell,18000000.0
OG Anunoby,18642857.0
Obi Toppin,6803012.0
Ochai Agbaji,4114200.0
Olivier Sarr,559782.0
Olivier-Maxence Prosper,2733720.0
Omari Moore,75000.0
Omer Yurtseven,2800000.0
Onuralp Bitim,500000.0
Onyeka Okongwu,8109063.0
Orlando Robinson,1801769.0
Oscar Tshiebwe,559782.0
Oshae Brissett,2165000.0
Otto Porter,6300000.0
Ousmane Dieng,4798440.0
PJ Tucker,11014500.0
PJ Washington,16847826.0
Paolo Banchero,11608080.0
Pascal Siakam,37893408.0
Pat Connaughton,9423869.0
Pat Spencer,170508.0
Patrick Baldwin,2337720.0
Patrick Beverley,3196448.0
Patrick Mills,7537766.0
Patrick Williams,9835881.0
Paul George,45640084.0
Paul Reed,7723000.0
Payton Pritchard,4037277.0
Pete Nance,244503.0
Peyton Watson,2303520.0
Precious Achiuwa,4379526.0
Quentin Grimes,2385720.0
Quenton Jackson,135120.0
RJ Barrett,23883929.0
RJ Hampton,680032.0
RaiQuan Gray,141554.0
Rayan Rupert,1119563.0
Reggie Bullock,14210528.0
Reggie Jackson,5000000.0
Richaun Holmes,12046020.0
Ricky Council,1414135.0
Ricky Rubio,3722327.0
Robert Covington,11692308.0
Robert Williams,11571429.0
Robin Lopez,3196448.0
Ron Harper Jr,147988.0
Royce O'Neale,9500000.0
Rudy Gay,6479000.0
Rudy Gobert,41000000.0
Rui Hachimura,15740741.0
Russell Westbrook,3835738.0
Ryan Arcidiacono,2528233.0
Ryan Rollins,1893589.0
Saben Lee,559782.0
Saddiq Bey,4556983.0
Sam Hauser,1927896.0
Sam Merrill,1997238.0
Sandro Mamukelashvili,2019706.0
Santiago Aldama,2194200.0
Sasha Vezenkov,6341464.0
Scoot Henderson,9770904.0
Scottie Barnes,8008680.0
Scottie Pippen Jr,289542.0
Seth Curry,4000000.0
Seth Lundy,559782.0
Shaedon Sharpe,6313800.0
Shai Gilgeous-Alexander,33386850.0
Shake Milton,5552938.0
Shaquille Harrison,145301.0
Sharife Cooper,103550.0
Sidy Cissoko,1119563.0
Simone Fontecchio,3044872.0
Sir'Jabari Rice,167291.0
Skylar Mays,1165280.0
Spencer Dinwiddie,20411797.0
Stanley Umude,1098242.0
Stephen Curry,51915615.0
Steven Adams,12600000.0
Sviatoslav Mykhailiuk,2346614.0
TJ McConnell,8700000.0
TJ Warren,649659.0
Taevion Kinsey,64343.0
Taj Gibson,4776302.0
Talen Horton-Tucker,11020000.0
Tari Eason,3527160.0
Taurean Prince,4516000.0
Taylor Hendricks,5569872.0
Taze Moore,70687.0
Terance Mann,10576923.0
Terquavion Smith,559782.0
Terry Rozier,23205221.0
Terry Taylor,2019706.0
Thaddeus Young,9010371.0
Thanasis Antetokounmpo,2346614.0
Theo Maledon,559782.0
Thomas Bryant,2528233.0
Tim Hardaway Jr,17897728.0
Timmy Allen,64343.0
Tobias Harris,39270150.0
Torrey Craig,2528233.0
Tosan Evbuomwan,295977.0
Toumani Camara,1119563.0
Trae Young,40064220.0
Trayce Jackson-Davis,1119563.0
Tre Jones,9895833.0
Tre Mann,3191400.0
Trendon Watford,2019706.0
Trent Forrest,1112933.0
Trevelin Queen,559782.0
Trey Jemison,341017.0
Trey Lyles,8000000.0
Trey Murphy,3359280.0
Tristan Thompson,3196448.0
Tristan Vukcevic,2424892.0
Troy Brown,4000000.0
Ty Jerome,2439025.0
TyTy Washington,2830222.0
Tyler Herro,27000000.0
Tyrese Haliburton,5808435.0
Tyrese Maxey,4343920.0
Tyus Jones,14000000.0
Udoka Azubuike,559782.0
Usman Garuba,3159790.0
Vasilije Micic,7723000.0
Victor Oladipo,9450000.0
Victor Wembanyama,12160632.0
Vince Williams Jr,2232308.0
Vit Krejci,369971.0
Vlatko Cancar,2234359.0
Walker Kessler,2831160.0
Wendell Carter,13050000.0
Wendell Moore,2421720.0
Wenyen Gabriel,124425.0
Wesley Matthews,3196448.0
Xavier Cooks,1719864.0
Xavier Moon,489005.0
Xavier Tillman,1930681.0
Yuta Watanabe,2346614.0
Zach Collins,7700000.0
Zach LaVine,40064220.0
Zavier Simpson,207100.0
Zeke Nnaji,4306281.0
Zhaire Smith,116075.0
Ziaire Williams,4810200.0
Zion Williamson,34005250.0
